,$delta x\/x$,$delta x\/x$,$n$,$N$,$delta x\/x$,$n$,$N$,$delta x\/x$,$n$,$N$,$delta x\/x$,$n$,$N$
1,7.557042450565608e-17,0.000230516599056972,49,300,2.4014611361538233e-12,164,767,1.0328847191719323e-05,7,138,1.5916584627539194e-13,18,371
2,1.8039437962929258e-16,0.00016406025014160009,111,10499,1.6209052177719085e-12,366,22454,1.4608411213230652e-05,7,4765,6.123064210742364e-14,19,10743
3,1.396825709061244e-16,0.0003500206912717979,42,1045,3.5355171303961138e-12,147,2555,2.1963705670755414e-05,6,487,1.6515778518153064e-13,17,1242
4,1.1625171994533497e-16,0.0003978216890827972,49,3669,3.693709701687216e-12,184,8611,7.924207667393135e-06,7,1767,1.0290003800834785e-13,18,4238
5,1.5255594184170393e-16,0.000245701667188962,49,136,2.52014966791886e-12,167,357,1.2258081938986246e-05,7,63,3.398962484327973e-13,19,173
6,1.6048172460912246e-16,0.00025177844633772793,30,414,2.4818678360138773e-12,137,1034,2.5579940698431857e-05,6,189,1.5940742430252925e-13,16,499
7,1.433738147681541e-16,0.00018590472890689608,52,450,1.7036015028558334e-12,191,1099,1.1281030662965123e-05,7,209,1.3222090392143332e-13,18,533
8,2.1188324374902298e-16,0.00018549358667193904,41,394,1.6485216479963277e-12,137,965,8.564700489851492e-06,7,182,1.5850154588859496e-13,18,468
9,1.439874300031753e-16,0.00015179278778265203,31,606,1.3938342927644745e-12,101,1484,1.920156498884596e-06,7,283,1.7890037414792919e-13,16,722
10,1.4382985130752508e-16,0.00015384660192528952,44,290,1.5255983523725803e-12,164,725,2.2778653432186205e-06,8,138,5.105338102824685e-14,18,355
11,1.9522318563765662e-16,0.00032777064511208437,37,138,3.289372095827928e-12,126,367,4.236686886040079e-05,6,63,2.302260023787801e-13,17,177
12,1.3004599081943545e-16,0.00017628106051977355,46,200,1.6996834617771262e-12,158,507,6.960280430370817e-06,7,95,8.1770891012542e-14,18,248
13,1.7795998271113955e-16,0.0001422643853296428,44,297,1.2354493602307754e-12,156,732,7.196278902647697e-06,7,138,1.0630157738069491e-13,17,355
14,2.1129684058772248e-16,0.0001325352688640097,51,875,1.3065853011784415e-12,164,2028,7.366038776762615e-06,7,399,5.428684697445416e-14,19,975
15,1.5268128634047035e-16,0.0002524879849930192,64,39030,2.518361703311713e-12,239,82423,2.5260551713965277e-05,6,18641,1.5221365863421766e-13,17,40337
16,8.419438056903559e-17,0.00024367442893409388,55,264,2.399281626241704e-12,188,670,1.6068942185589875e-05,7,121,2.2663844005806477e-13,18,324
17,1.552110756727582e-16,0.0003669958431754974,34,190,3.7224560491580986e-12,138,508,2.439080881800051e-05,7,90,3.680464320830842e-13,18,249
18,5.423057122775649e-17,0.00015343200645383855,44,101,1.3795605916605965e-12,144,262,1.4870430295451624e-05,7,48,1.8848208313487866e-13,18,128
19,1.881203959756478e-16,0.0003107984998376877,21,98,3.264529589696309e-12,104,267,1.0626020662335705e-05,6,47,9.007124935869564e-14,16,131
20,1.7169199123207045e-16,0.00016526122566727376,38,161,1.6144341832021824e-12,186,408,4.493781561412376e-06,8,77,9.652855774863475e-14,19,201
